Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",64366,1,44,260,1,100,1,44,0,0,1115.062317,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",51364,1,44,260,1,100,1,44,0,0,1127.804706,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",60234,1,44,260,1,100,1,44,0,0,1137.74499,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",62717,1,44,260,1,100,1,44,0,0,1145.580721,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",49221,1,44,260,1,100,1,44,0,0,1157.087688,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54697,1,44,260,1,100,1,44,0,0,1162.851669,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63066,1,44,260,1,100,1,44,0,0,1175.861422,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54052,1,44,260,1,100,1,44,0,0,1187.68308,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63267,1,44,260,1,100,1,44,0,0,1197.333573,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",61260,1,44,260,1,100,1,44,0,0,1205.305549,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63891,1,44,260,1,100,1,44,0,0,1213.201088,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54133,1,44,260,1,100,1,44,0,0,1225.861181,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",65433,1,44,260,1,100,1,44,0,0,1235.784652,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",50266,1,44,260,1,100,1,44,0,0,1243.892813,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",64418,1,44,260,1,100,1,44,0,0,1255.127778,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",55449,1,44,260,1,100,1,44,0,0,1263.822082,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54257,1,44,260,1,100,1,44,0,0,1273.825958,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",59187,1,44,260,1,100,1,44,0,0,1286.934363,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",63211,1,44,260,1,100,1,44,0,0,1297.659317,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",53124,1,44,260,1,100,1,44,0,0,1305.552536,0,"",""
"fe80::580c:cab1:82af:7ee3",5683,"fe80::b8d0:aa3c:be56:a8dc",54003,1,44,260,1,100,1,44,0,0,1316.062762,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",50221,1,43,1,1,100,1,43,0,0,13.300491,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",61292,1,43,3,1,100,1,43,0,0,25.893727,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",61467,1,42,5,1,100,1,42,0,0,36.092161,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",49395,1,43,7,1,100,1,43,0,0,45.471567,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",52114,1,43,9,1,100,1,43,0,0,55.028168,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",54687,1,43,11,1,100,1,43,0,0,63.350232,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",64134,1,43,13,1,100,1,43,0,0,75.756844,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",55702,1,43,15,1,100,1,43,0,0,85.171586,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",60577,1,43,17,1,100,1,43,0,0,93.144386,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",52169,1,43,19,1,100,1,43,0,0,105.862852,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",58604,1,43,21,1,100,1,43,0,0,112.939333,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",49417,1,43,23,1,100,1,43,0,0,122.608988,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",65135,1,43,25,1,100,1,43,0,0,135.053957,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",55489,1,43,27,1,100,1,43,0,0,144.612541,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",51993,1,43,29,1,100,1,43,0,0,154.200389,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",52584,1,43,31,1,100,1,43,0,0,165.454669,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",59972,1,43,33,1,100,1,43,0,0,172.842637,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",63021,1,43,35,1,100,1,43,0,0,187.024313,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",54163,1,43,37,1,100,1,43,0,0,193.712868,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",61216,1,43,39,1,100,1,43,0,0,205.138271,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",58208,4,172,41,4,100,4,172,0,0,216.375464,0.013609000000002425,101109,0
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",62281,1,43,43,1,100,1,43,0,0,223.949995,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",60818,1,43,45,1,100,1,43,0,0,235.829081,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",51581,1,43,47,1,100,1,43,0,0,243.567533,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",59329,1,43,49,1,100,1,43,0,0,253.863673,0,"",""
"fe80::580c:fa45:92cb:feaf",5683,"fe80::b8d0:aa3c:be56:a8dc",63209,1,43,51,1,100,1,43,0,0,264.379879,0,"",""
